CPD ID,Plate ID,Well
CPD_244564,APL003270,G22
CPD_364248,APL001699,I03
CPD_363229,APL001697,I06
CPD_363896,APL001697,H14
CPD_363150,APL001697,K05
CPD_243452,APL003267,C03
CPD_348865,APL001650,F13
CPD_244246,APL003269,K22
CPD_363906,APL001697,L16
CPD_363244,APL001697,G10
CPD_331983,APL001598,O03
CPD_331709,APL001597,I15
CPD_363196,APL001697,G17
CPD_359211,APL001683,A11
CPD_244880,APL003271,A22
CPD_363889,APL001697,J12
CPD_363888,APL001697,H12
CPD_363955,APL001698,O07
CPD_245833,APL003274,K20
CPD_330704,APL001594,G03
CPD_363246,APL001697,K10
CPD_363243,APL001697,E10
CPD_361109,APL001690,J15
CPD_353263,APL001664,E16
CPD_244882,APL003271,E22
CPD_321824,APL001566,E15
CPD_363326,APL001697,L09
CPD_363872,APL001697,H08
CPD_245494,APL003273,O14
CPD_339783,APL001622,C18
CPD_363158,APL001697,K07
CPD_363174,APL001697,K11
CPD_361710,APL001692,L05
CPD_363898,APL001697,L14
CPD_363882,APL001697,L10
CPD_363890,APL001697,L12
CPD_362761,APL001695,B10
CPD_363316,APL001697,H07
CPD_346891,APL001644,D21
CPD_319244,APL001558,I03
CPD_363324,APL001697,H09
CPD_363887,APL001697,F12
CPD_363156,APL001697,G07
CPD_360904,APL001690,O03
CPD_363166,APL001697,K09
CPD_363880,APL001697,H10
CPD_245534,APL003273,P03
CPD_244422,APL003270,K05
CPD_363198,APL001697,K17
CPD_355481,APL001671,I12
CPD_363315,APL001697,F07
CPD_363251,APL001697,E12
CPD_363262,APL001697,K14
CPD_363905,APL001697,J16
CPD_363270,APL001697,K16
CPD_363188,APL001697,G15
CPD_362771,APL001695,F12
CPD_363171,APL001697,E11
CPD_363099,APL001696,F14
CPD_346779,APL001644,C14
CPD_347117,APL001645,G18
CPD_362085,APL001693,J19
CPD_244929,APL003271,F13
CPD_364251,APL001699,O03
CPD_322415,APL001568,M03
CPD_363268,APL001697,G16
CPD_363879,APL001697,F10
CPD_363163,APL001697,E09
CPD_246635,APL003277,O03
CPD_363238,APL001697,K08
CPD_244988,APL003271,L08
CPD_244098,APL003269,C05
CPD_363269,APL001697,I16
CPD_348402,APL001649,G17
CPD_363260,APL001697,G14
CPD_243645,APL003267,H11
CPD_330466,APL001593,K04
CPD_363157,APL001697,I07
CPD_324158,APL001573,N03
CPD_244364,APL003269,H12
CPD_320616,APL001562,M10
CPD_363179,APL001697,E13
CPD_363237,APL001697,I08
CPD_363897,APL001697,J14
CPD_363228,APL001697,G06
CPD_363235,APL001697,E08
CPD_361970,APL001693,C12
CPD_361864,APL001693,O03
CPD_362692,APL001695,H11
CPD_246007,APL003275,O03
CPD_361092,APL001690,H11
CPD_243327,APL003266,J11
CPD_245522,APL003273,G22
CPD_363173,APL001697,I11
CPD_245849,APL003274,N03
CPD_247116,APL003275,H18
CPD_246163,APL003275,J03
CPD_362198,APL001694,K07
CPD_246791,APL003277,J03
CPD_363107,APL001696,F16
CPD_322065,APL001566,J16
CPD_361862,APL001693,K03
CPD_362450,APL001694,D12
CPD_363903,APL001697,F16
CPD_244842,APL003271,C12
CPD_363865,APL001697,J06
CPD_363182,APL001697,K13
CPD_361169,APL001690,B12
CPD_363172,APL001697,G11
CPD_322496,APL001568,O04
CPD_361083,APL001690,F09
CPD_362022,APL001693,L03
CPD_243935,APL003268,N03
CPD_353987,APL001666,P15
CPD_363180,APL001697,G13
CPD_322592,APL001568,B09
CPD_244479,APL003270,M19
CPD_357111,APL001676,H03
CPD_360941,APL001690,I13
CPD_244969,APL003271,F04
CPD_363904,APL001697,H16
CPD_322113,APL001567,O07
CPD_361743,APL001692,N13
CPD_329588,APL001590,L03
CPD_244892,APL003271,J03
CPD_363912,APL001697,H18
CPD_246916,APL003278,O03
CPD_364394,APL001699,A22
CPD_356675,APL001675,G13
CPD_362341,APL001694,J03
CPD_246875,APL003277,D10
CPD_363874,APL001697,L08
CPD_243775,APL003268,K03
CPD_246860,APL003277,F06
CPD_358659,APL001681,I12
CPD_363100,APL001696,H14
CPD_246393,APL003276,G04
CPD_363323,APL001697,F09
CPD_363165,APL001697,I09
CPD_350786,APL001656,L13
CPD_362737,APL001695,B04
CPD_243416,APL003266,L14
CPD_362602,APL001695,C10
CPD_362300,APL001694,G14
CPD_363236,APL001697,G08
CPD_363253,APL001697,I12
CPD_363189,APL001697,I15
CPD_364215,APL001698,H16
CPD_364707,APL001700,I14
CPD_246423,APL003276,C12
CPD_360932,APL001690,G11
CPD_362182,APL001694,K03
CPD_360901,APL001690,I03
CPD_363938,APL001698,K03
CPD_363252,APL001697,G12
CPD_245837,APL003274,C22
CPD_246856,APL003277,N04
CPD_361063,APL001690,N03
CPD_362015,APL001693,M22
CPD_245162,APL003272,G12
CPD_364569,APL001700,O03
CPD_246267,APL003275,N10
CPD_364413,APL001699,H05
CPD_360944,APL001690,O13
CPD_361612,APL001692,G21
CPD_346763,APL001644,C10
CPD_362372,APL001694,H11
CPD_362184,APL001694,O03
CPD_246658,APL003277,M09
CPD_346755,APL001644,C08
CPD_244970,APL003271,H04
CPD_353758,APL001665,D20
CPD_364408,APL001699,N03
CPD_243764,APL003267,F22
CPD_362339,APL001694,F03
CPD_362620,APL001695,G14
CPD_245445,APL003273,M21
CPD_361732,APL001692,H11
CPD_246794,APL003277,P03
CPD_319716,APL001559,N03
CPD_361812,APL001692,H12
CPD_244898,APL003271,F05
CPD_244733,APL003271,I03
CPD_362662,APL001695,L03
CPD_364393,APL001699,O20
CPD_361500,APL001691,H14
CPD_363325,APL001697,J09
CPD_244573,APL003270,J03
CPD_363261,APL001697,I14
CPD_361099,APL001690,F13
CPD_361180,APL001690,H14
CPD_362502,APL001695,K03
CPD_364087,APL001698,G22
CPD_362058,APL001693,D13
CPD_244084,APL003268,H22
CPD_362293,APL001694,I12
CPD_363181,APL001697,I13
CPD_361916,APL001693,G17
CPD_360903,APL001690,M03
CPD_362503,APL001695,M03
CPD_361809,APL001692,B12
CPD_362604,APL001695,G10
CPD_361005,APL001690,I10
CPD_361013,APL001690,I12
CPD_364249,APL001699,K03
CPD_361819,APL001692,F14
CPD_244891,APL003271,H03
CPD_245081,APL003272,E11
CPD_245782,APL003274,C08
CPD_243263,APL003266,I16
CPD_361260,APL001691,G13
CPD_244974,APL003271,P04
CPD_361010,APL001690,C12
CPD_361398,APL001691,L07
CPD_363138,APL001697,C03
CPD_244611,APL003270,F13
CPD_363259,APL001697,E14
CPD_324501,APL001574,L09
CPD_351228,APL001658,O03
CPD_362052,APL001693,H11
CPD_243495,APL003267,K13
CPD_362181,APL001694,I03
CPD_246307,APL003275,J22
CPD_246874,APL003277,B10
CPD_364702,APL001698,F06
CPD_361172,APL001690,H12
CPD_362353,APL001694,B07
CPD_361573,APL001692,I11
CPD_362460,APL001694,H14
CPD_362780,APL001695,H14
CPD_356830,APL001675,B13
CPD_362220,APL001694,G13
CPD_361429,APL001691,J15
CPD_245994,APL003274,F22
CPD_330536,APL001593,G22
CPD_360940,APL001690,G13
CPD_318505,APL001555,L17
CPD_364208,APL001698,J14
CPD_363108,APL001696,H16
CPD_364178,APL001698,H06
CPD_326561,APL001581,G05
CPD_243233,APL003266,M08
CPD_336960,APL001613,N03
CPD_360938,APL001690,C13
CPD_361252,APL001691,G11
CPD_321780,APL001566,M03
CPD_361652,APL001692,G12
CPD_362858,APL001696,C13
CPD_322533,APL001568,I14
CPD_363860,APL001697,N04
CPD_362348,APL001694,H05
CPD_362612,APL001695,G12
CPD_363873,APL001697,J08
CPD_246243,APL003275,N04
CPD_320758,APL001562,L06
CPD_245584,APL003273,F17
CPD_364700,APL001698,J04
CPD_361884,APL001693,G09
CPD_361356,APL001691,G18
CPD_362417,APL001694,B04
CPD_362446,APL001694,L10
CPD_246320,APL003276,C05
CPD_244980,APL003271,L06
CPD_339813,APL001622,P03
CPD_361155,APL001690,F08
CPD_362452,APL001694,H12
CPD_361020,APL001690,G14
CPD_364706,APL001699,G12
CPD_320524,APL001562,E07
CPD_361579,APL001692,E13
CPD_318641,APL001556,O11
CPD_362961,APL001696,A20
CPD_363245,APL001697,I10
CPD_245456,APL003273,C06
CPD_361404,APL001691,H09
CPD_337181,APL001614,G19
CPD_361846,APL001692,L20
CPD_364550,APL001699,J20
CPD_361171,APL001690,F12
CPD_363881,APL001697,J10
CPD_362345,APL001694,B05
CPD_362361,APL001694,B09
CPD_364497,APL001699,P06
CPD_361569,APL001692,A11
CPD_361145,APL001690,B06
CPD_361057,APL001690,B03
CPD_319572,APL001559,O05
CPD_362504,APL001695,O03
CPD_346550,APL001643,H15
CPD_363155,APL001697,E07
CPD_245002,APL003271,H12
CPD_362084,APL001693,H19
CPD_243326,APL003266,H11
CPD_244124,APL003269,G11
CPD_361428,APL001691,H15
CPD_357114,APL001676,N03
CPD_245354,APL003272,H20
CPD_361372,APL001691,G22
CPD_362684,APL001695,H09
CPD_361484,APL001691,H10
CPD_364168,APL001698,L21
CPD_364250,APL001699,M03
CPD_360995,APL001690,E08
CPD_361682,APL001692,C20
CPD_362364,APL001694,H09
CPD_361177,APL001690,B14
CPD_361772,APL001692,H21
CPD_362772,APL001695,H12
CPD_361890,APL001693,C11
CPD_361810,APL001692,D12
CPD_362340,APL001694,H03
CPD_243174,APL003266,G13
CPD_243197,APL003266,E19
CPD_361818,APL001692,D14
CPD_360933,APL001690,I11
CPD_362060,APL001693,H13
CPD_244401,APL003269,B22
CPD_360234,APL001687,D18
CPD_361108,APL001690,H15
CPD_361269,APL001691,I15
CPD_362284,APL001694,G10
CPD_363092,APL001696,H12
CPD_360942,APL001690,K13
CPD_361780,APL001692,H04
CPD_246475,APL003276,L03
CPD_247076,APL003278,P03
CPD_361332,APL001691,G12
CPD_361420,APL001691,H13
CPD_356090,APL001673,I06
CPD_360992,APL001690,O06
CPD_245229,APL003272,N07
CPD_362940,APL001696,G14
CPD_364701,APL001698,D06
CPD_243254,APL003266,G14
CPD_364644,APL001700,E04
CPD_334090,APL001604,N03
CPD_362708,APL001695,H15
CPD_244922,APL003271,H11
CPD_361489,APL001691,B12
CPD_362050,APL001693,D11
CPD_361012,APL001690,G12
CPD_244163,APL003269,E21
CPD_361811,APL001692,F12
CPD_246782,APL003277,G22
CPD_361081,APL001690,B09
CPD_243747,APL003267,D18
CPD_361174,APL001690,L12
CPD_245640,APL003273,F12
CPD_246656,APL003277,I09
CPD_361021,APL001690,I14
CPD_361713,APL001692,B07
CPD_361251,APL001691,E11
CPD_362824,APL001696,O03
CPD_361395,APL001691,F07
CPD_363197,APL001697,I17
CPD_246044,APL003275,K13
CPD_317810,APL001553,N03
CPD_244930,APL003271,H13
CPD_361706,APL001692,D05
CPD_362980,APL001696,H03
CPD_360930,APL001690,C11
CPD_364459,APL001699,D17
CPD_361419,APL001691,F13
CPD_364518,APL001699,J12
CPD_361564,APL001692,G09
CPD_362292,APL001694,G12
CPD_364522,APL001699,B14
CPD_361097,APL001690,B13
CPD_361738,APL001692,D13
CPD_361644,APL001692,G10
CPD_362901,APL001696,I04
CPD_245242,APL003272,H11
CPD_245641,APL003273,H12
CPD_360983,APL001690,M04
CPD_362083,APL001693,F19
CPD_361004,APL001690,G10
CPD_361898,APL001693,C13
CPD_361900,APL001693,G13
CPD_244575,APL003270,N03
CPD_362594,APL001695,C08
